Gene symbol	TCGA-05-4244-01	TCGA-05-4249-01	TCGA-05-4250-01	TCGA-05-4382-01	TCGA-05-4384-01
MYO5C	1591.9644	857.2388	1298.3735	594.2472	2834.099
MYO6	5793.1757	5383.7603	1626.1295	2689.7787	3425.168
MYO7A	217.471	177.3982	363.7569	399.3986	139.89
MYO7B	6.9814	5.7952	6.9634	3.111	14.661
MYO9A	441.2252	394.7189	413.4958	261.3201	358.5828
MYO9B	2014.8355	1800.704	1474.5917	2537.8205	1710.4459
MYOCD	11.8684	12.2344	5.3055	6.2219	35.4307
MYOC	3.1416	0.6439	0.6632	0.9572	8.5522
MYOD1	0	0	0	0	0
MYOF	6054.9786	6766.5645	7067.8936	6156.5779	4045.8155
MYOG	0	0.322	0	0.2393	0.6109
MYOM1	8.7268	15.132	4.3107	93.8072	135.6139
MYOM2	9.0758	13.5222	87.5404	16.2727	57.4221
MYOM3	7.3305	1.6098	131.9738	1.6751	3.6652
MYOT	6.2833	0.322	0.6632	3.111	4.2761
MYOZ1	22.3405	40.8885	27.5222	27.9986	28.1002
MYOZ2	0	1.2878	0.6632	4.7861	4.2761
MYOZ3	6.2833	13.5222	4.3107	16.2727	36.6524
MYPN	0	0	0.9948	0.9572	0.6109
MYPOP	117.6368	110.7531	98.8146	162.2482	84.3005
MYRIP	18.1517	10.9465	4.9739	37.5708	198.5339
MYSM1	166.1576	111.719	80.2454	75.8594	114.8442
MYST1	674.0553	461.6859	504.0206	532.4517	549.7862
MYST2	1395.5843	1810.3627	1626.1295	1134.7803	1053.7569
MYST3	1508.6831	1638.1158	1334.3281	1296.3106	1545.5101
MYST4	611.5717	937.216	763.3259	525.0333	960.2932
MYT1L	10.4721	0	0	147.6507	0
MYT1	10.4721	0.6439	16.248	0.7179	7.9414
MZF1	280.3142	162.7169	120.3382	178.083	400.2016
N4BP1	1193.1233	1761.4252	1235.182	1419.3129	1815.5162
N4BP2L1	220.9617	428.5244	214.5403	204.3657	259.0104
N4BP2L2	829.0427	1046.0374	557.0754	1233.1343	1398.9004
N4BP2	209.4424	232.1308	237.7518	133.771	163.1032
N4BP3	219.9145	127.1729	68.9712	243.3723	785.5834
N6AMT1	262.8502	180.6177	272.2374	171.5811	237.6298
N6AMT2	54.455	139.7292	64.9921	75.8594	117.2877
NAA10	1505.5415	562.7804	925.143	1337.7102	609.0409
NAA11	0	0	0	0.2393	0
NAA15	879.6579	846.4242	1454.033	766.9698	924.8626
NAA16	160.9215	423.3731	105.778	194.5543	208.3079
NAA20	1066.0616	1097.8724	1552.8476	889.0149	1200.9774
NAA25	754.6906	724.4026	662.5218	458.7461	615.1497
NAA30	436.3382	588.5369	398.9057	397.9628	571.1668
NAA35	329.1736	402.7679	300.4228	335.5044	411.7288
NAA38	294.2665	221.5062	489.7621	416.3892	281.6127
NAA40	567.2397	471.6666	389.2896	515.9398	507.025
NAA50	2197.0504	1836.1192	2720.3846	3166.7118	2381.796
NAAA	437.3855	421.7633	553.0962	437.6873	291.9976
NAALAD2	11.8684	11.2685	7.295	30.1523	14.0501
NAALADL1	35.6052	151.9636	50.0705	142.386	32.9872
NAALADL2	57.2476	110.7531	309.0442	404.6633	78.8027
NAB1	696.7449	689.6313	1072.0385	944.2942	709.8351
NAB2	1925.1244	1088.2137	1339.9652	977.5575	912.0342
NACA2	29.3219	16.4198	31.5013	87.5853	67.1961
NACAD	12.2175	22.8589	299.428	134.4889	25.0458
NACAP1	64.229	70.5085	76.9295	68.6803	88.5767
NACA	10577.1882	9970.0339	10333.0846	9126.5817	10084.9114
NACC1	2001.5708	2363.8063	1419.879	1111.8071	1322.5412
NACC2	58.2948	61.8157	43.4386	67.9624	82.4679
NADK	706.868	1053.4424	732.1562	1419.5522	3063.5308
NADSYN1	1628.7634	912.1034	638.6471	900.5015	1047.6481
NAE1	832.8825	793.3014	689.7123	732.2707	663.4087
NAF1	140.3264	165.4858	186.355	129.2242	166.1576
NAGA	1523.3441	1524.4619	1858.9074	2016.6161	1039.7068
NAGK	983.6809	899.869	1168.2003	1528.4356	1093.4637
NAGLU	621.3457	510.9453	1172.511	1051.2631	854.0012
